,Colour,Memory,RAM,Battery_,AI Lens,Mobile Height,Processor_,Prize,Price Category,battery_efficiency,Rear_Camera_MP,Front_Camera_MP,price_per_ram,price_per_memory,Brand,Series,Model_Number
66,146,128.0,8.0,5000.0,0.0,16.51,53,16999.0,15K-20K,625.0,50,16,2124.875,132.8046875,6,98,12.0
67,160,128.0,4.0,5000.0,0.0,16.51,116,10499.0,10K-15K,1250.0,50,5,2624.75,82.0234375,20,27,12.0
68,24,32.0,3.0,5000.0,0.0,16.51,116,6499.0,5K-10K,1666.6666666666667,8,5,2166.3333333333335,203.09375,20,24,12.0
69,114,32.0,3.0,5000.0,0.0,16.51,116,6499.0,5K-10K,1666.6666666666667,8,5,2166.3333333333335,203.09375,20,24,12.0
70,64,32.0,2.0,5000.0,0.0,16.51,116,5999.0,5K-10K,2500.0,8,5,2999.5,187.46875,20,24,12.0
71,64,32.0,3.0,5000.0,0.0,16.51,116,6499.0,5K-10K,1666.6666666666667,8,5,2166.3333333333335,203.09375,20,24,12.0
72,272,128.0,6.0,5000.0,0.0,16.94,77,15999.0,15K-20K,833.3333333333334,48,13,2666.5,124.9921875,11,74,12.0
73,119,32.0,2.0,5000.0,0.0,16.56,56,6299.0,5K-10K,2500.0,8,5,3149.5,196.84375,12,12,12.0
74,273,128.0,8.0,5000.0,0.0,16.33,62,13999.0,10K-15K,625.0,64,16,1749.875,109.3671875,11,49,12.0
75,148,128.0,8.0,5000.0,0.0,16.43120147874307,79,16499.0,15K-20K,625.0,50,16,2062.375,128.8984375,6,40,12.0
76,201,32.0,3.0,5000.0,0.0,16.56,56,6299.0,5K-10K,1666.6666666666667,8,5,2099.6666666666665,196.84375,11,29,12.0
77,104,128.0,6.0,5000.0,0.0,16.71,63,14499.0,10K-15K,833.3333333333334,50,8,2416.5,113.2734375,11,50,12.0
78,79,64.0,4.0,5000.0,0.0,16.71,22,9999.0,5K-10K,1250.0,50,8,2499.75,156.234375,12,3,12.0
79,252,128.0,8.0,5000.0,0.0,17.07,21,13999.0,10K-15K,625.0,64,8,1749.875,109.3671875,20,31,12.0
80,199,128.0,8.0,5000.0,0.0,17.07,21,13999.0,10K-15K,625.0,64,8,1749.875,109.3671875,20,31,12.0
81,252,64.0,6.0,5000.0,0.0,17.07,21,11999.0,10K-15K,833.3333333333334,64,8,1999.8333333333333,187.484375,20,31,12.0
82,198,128.0,8.0,5000.0,0.0,17.07,21,13999.0,10K-15K,625.0,64,8,1749.875,109.3671875,20,31,12.0
83,199,64.0,6.0,5000.0,0.0,17.07,21,11999.0,10K-15K,833.3333333333334,64,8,1999.8333333333333,187.484375,20,31,12.0
84,198,64.0,6.0,5000.0,0.0,17.07,21,11999.0,10K-15K,833.3333333333334,64,8,1999.8333333333333,187.484375,20,31,12.0
85,252,64.0,4.0,5000.0,0.0,17.07,21,10999.0,10K-15K,1250.0,64,8,2749.75,171.859375,20,31,12.0
86,198,64.0,4.0,5000.0,0.0,17.07,21,10999.0,10K-15K,1250.0,64,8,2749.75,171.859375,20,31,12.0
87,199,64.0,4.0,5000.0,0.0,17.07,21,10999.0,10K-15K,1250.0,64,8,2749.75,171.859375,20,31,12.0
88,84,128.0,8.0,5000.0,0.0,16.43120147874307,79,16499.0,15K-20K,625.0,50,16,2062.375,128.8984375,6,40,12.0
89,22,128.0,6.0,4871.587800369686,0.0,16.76,10,14490.0,10K-15K,811.9313000616144,50,13,2415.0,113.203125,14,42,12.0
90,22,128.0,4.0,4871.587800369686,0.0,16.76,10,13490.0,10K-15K,1217.8969500924215,50,13,3372.5,105.390625,14,42,12.0
91,22,128.0,4.0,4871.587800369686,0.0,16.76,10,13490.0,10K-15K,1217.8969500924215,50,13,3372.5,105.390625,14,42,12.0
92,35,64.0,4.0,4871.587800369686,0.0,17.02,75,9499.0,5K-10K,1217.8969500924215,50,5,2374.75,148.421875,12,1,12.0
93,180,64.0,4.0,5000.0,0.0,16.71,22,9999.0,5K-10K,1250.0,50,8,2499.75,156.234375,12,3,12.0
94,124,128.0,8.0,5000.0,0.0,16.51,53,16999.0,15K-20K,625.0,50,16,2124.875,132.8046875,6,98,12.0
95,104,64.0,4.0,5000.0,0.0,16.71,63,12499.0,10K-15K,1250.0,50,8,3124.75,195.296875,11,50,12.0
96,58,128.0,8.0,5000.0,0.0,17.07,79,19999.0,15K-20K,625.0,108,16,2499.875,156.2421875,20,1,12.0
97,156,128.0,6.0,5000.0,0.0,17.07,79,18999.0,15K-20K,833.3333333333334,108,16,3166.5,148.4296875,20,1,12.0
98,156,128.0,6.0,4871.587800369686,0.0,16.43120147874307,99,1449.0,<5K,811.9313000616144,0,0,241.5,11.3203125,7,45,12.0
99,186,128.0,6.0,5000.0,0.0,16.71,63,14499.0,10K-15K,833.3333333333334,50,8,2416.5,113.2734375,11,50,12.0
100,273,128.0,6.0,5000.0,0.0,16.71,63,14499.0,10K-15K,833.3333333333334,50,8,2416.5,113.2734375,11,50,12.0
101,273,128.0,8.0,5000.0,0.0,16.76,49,15999.0,15K-20K,625.0,50,16,1999.875,124.9921875,11,49,12.0
102,100,128.0,8.0,5000.0,0.0,17.07,79,19999.0,15K-20K,625.0,108,16,2499.875,156.2421875,20,1,12.0
103,58,128.0,6.0,5000.0,0.0,17.07,79,18999.0,15K-20K,833.3333333333334,108,16,3166.5,148.4296875,20,1,12.0
104,156,128.0,8.0,5000.0,0.0,17.07,79,19999.0,15K-20K,625.0,108,16,2499.875,156.2421875,20,1,12.0
105,100,128.0,6.0,5000.0,0.0,17.07,79,18999.0,15K-20K,833.3333333333334,108,16,3166.5,148.4296875,20,1,12.0
106,48,32.0,3.0,5000.0,0.0,16.56,56,6299.0,5K-10K,1666.6666666666667,8,5,2099.6666666666665,196.84375,11,29,12.0
107,27,128.0,8.0,5000.0,0.0,16.51,29,15999.0,15K-20K,625.0,48,16,1999.875,124.9921875,20,54,12.0
108,27,128.0,8.0,4871.587800369686,0.0,16.43120147874307,99,1849.0,<5K,608.9484750462108,2,0,231.125,14.4453125,17,5,12.0
109,80,128.0,8.0,5000.0,0.0,17.02,50,15999.0,15K-20K,625.0,108,16,1999.875,124.9921875,4,57,12.0
110,218,128.0,8.0,5000.0,0.0,17.02,50,15999.0,15K-20K,625.0,108,16,1999.875,124.9921875,4,57,12.0
111,253,128.0,6.0,5000.0,0.0,16.94,77,15999.0,15K-20K,833.3333333333334,48,13,2666.5,124.9921875,11,74,12.0
112,86,128.0,4.0,4871.587800369686,0.0,16.76,10,13490.0,10K-15K,1217.8969500924215,50,13,3372.5,105.390625,14,42,12.0
113,3,128.0,6.0,5000.0,0.0,16.76,83,16999.0,15K-20K,833.3333333333334,50,8,2833.1666666666665,132.8046875,14,42,12.0
